epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.3421,1.69505,2.9438,1.52514,0.92429,0.15526,0.20777,0.12641,1.4218,1.11816,1.38475,2.99492e-05,2.99492e-05,2.99492e-05
2,193.138,1.38372,1.2578,1.30243,0.65578,0.35779,0.4112,0.26554,1.36483,0.87206,1.35102,5.87622e-05,5.87622e-05,5.87622e-05
3,288.057,1.34113,1.03868,1.28411,0.60475,0.5568,0.59221,0.39471,1.353,0.79467,1.32885,8.63872e-05,8.63872e-05,8.63872e-05
4,382.344,1.32445,0.9249,1.2746,0.70071,0.67482,0.74038,0.50194,1.33615,0.72965,1.30746,8.4654e-05,8.4654e-05,8.4654e-05
5,476.86,1.29827,0.85304,1.26231,0.78513,0.71997,0.82235,0.55352,1.33903,0.70421,1.3163,8.2872e-05,8.2872e-05,8.2872e-05
6,570.932,1.2789,0.79953,1.25477,0.7878,0.82082,0.89213,0.62231,1.32954,0.63289,1.31376,8.109e-05,8.109e-05,8.109e-05
7,665.196,1.27115,0.76169,1.24676,0.85057,0.83686,0.92164,0.64246,1.32536,0.63566,1.30542,7.9308e-05,7.9308e-05,7.9308e-05
8,759.379,1.25297,0.73423,1.23801,0.85876,0.86432,0.93405,0.65244,1.3219,0.61597,1.30643,7.7526e-05,7.7526e-05,7.7526e-05
9,853.493,1.24171,0.7022,1.23479,0.88184,0.89334,0.94423,0.6647,1.32617,0.61543,1.3195,7.5744e-05,7.5744e-05,7.5744e-05
10,947.659,1.23341,0.69106,1.22903,0.90625,0.89251,0.95679,0.66912,1.32315,0.59325,1.30904,7.3962e-05,7.3962e-05,7.3962e-05
11,1041.8,1.22456,0.67426,1.22721,0.88738,0.91959,0.95289,0.66958,1.31219,0.59693,1.297,7.218e-05,7.218e-05,7.218e-05
12,1135.91,1.2132,0.6599,1.21796,0.90324,0.91466,0.95842,0.6769,1.32518,0.59717,1.3028,7.0398e-05,7.0398e-05,7.0398e-05
13,1229.89,1.19926,0.65141,1.21294,0.90991,0.91825,0.96361,0.68162,1.31569,0.58989,1.2958,6.8616e-05,6.8616e-05,6.8616e-05
14,1324.06,1.19421,0.63817,1.21062,0.90829,0.90899,0.96017,0.67695,1.3261,0.61587,1.30255,6.6834e-05,6.6834e-05,6.6834e-05
15,1418.31,1.18367,0.62716,1.20286,0.91149,0.93099,0.96819,0.68876,1.33006,0.58935,1.30806,6.5052e-05,6.5052e-05,6.5052e-05
16,1512.5,1.17508,0.62359,1.1986,0.90314,0.93605,0.96872,0.68868,1.32339,0.58519,1.31037,6.327e-05,6.327e-05,6.327e-05
17,1606.81,1.17023,0.61276,1.19629,0.91579,0.93684,0.97009,0.68788,1.33146,0.60308,1.31595,6.1488e-05,6.1488e-05,6.1488e-05
18,1701.02,1.15922,0.60261,1.1926,0.93224,0.92905,0.96406,0.68495,1.31379,0.5888,1.29894,5.9706e-05,5.9706e-05,5.9706e-05
19,1795.38,1.14944,0.59554,1.18463,0.92562,0.92863,0.96873,0.68417,1.33134,0.58433,1.30975,5.7924e-05,5.7924e-05,5.7924e-05
20,1889.58,1.13877,0.58716,1.18028,0.93335,0.92404,0.9704,0.68449,1.33481,0.56858,1.31108,5.6142e-05,5.6142e-05,5.6142e-05
21,1983.79,1.13728,0.58754,1.17568,0.90821,0.95181,0.97241,0.68865,1.32362,0.57404,1.30351,5.436e-05,5.436e-05,5.436e-05
22,2077.86,1.1286,0.57877,1.17492,0.9311,0.92758,0.97022,0.69447,1.32976,0.56614,1.31193,5.2578e-05,5.2578e-05,5.2578e-05
23,2172.19,1.12171,0.57427,1.17367,0.93336,0.93604,0.96692,0.69003,1.33456,0.56507,1.30955,5.0796e-05,5.0796e-05,5.0796e-05
24,2266.41,1.11238,0.56534,1.1676,0.94146,0.93801,0.96818,0.69235,1.32926,0.57493,1.31051,4.9014e-05,4.9014e-05,4.9014e-05
25,2360.47,1.11035,0.56085,1.16967,0.93288,0.93424,0.96925,0.69089,1.33336,0.5716,1.3142,4.7232e-05,4.7232e-05,4.7232e-05
26,2454.42,1.09933,0.55836,1.16072,0.93196,0.93663,0.97096,0.69391,1.33958,0.56418,1.31575,4.545e-05,4.545e-05,4.545e-05
27,2548.45,1.09829,0.55452,1.15901,0.93061,0.94071,0.96981,0.69048,1.34162,0.55923,1.31565,4.3668e-05,4.3668e-05,4.3668e-05
28,2642.4,1.0863,0.54764,1.15398,0.93762,0.9353,0.96832,0.68959,1.31939,0.5609,1.30311,4.1886e-05,4.1886e-05,4.1886e-05
29,2736.82,1.08273,0.54683,1.15096,0.93237,0.94433,0.9706,0.68691,1.3345,0.55516,1.31988,4.0104e-05,4.0104e-05,4.0104e-05
30,2831.24,1.0852,0.54683,1.15184,0.94525,0.93863,0.96586,0.68883,1.32728,0.55179,1.31831,3.8322e-05,3.8322e-05,3.8322e-05
31,2925.68,1.07365,0.5367,1.14976,0.94408,0.9334,0.96852,0.69194,1.33631,0.5562,1.32139,3.654e-05,3.654e-05,3.654e-05
32,3020.43,1.06893,0.53241,1.14335,0.93791,0.94144,0.9706,0.69152,1.3298,0.56349,1.31875,3.4758e-05,3.4758e-05,3.4758e-05
33,3114.82,1.06082,0.52885,1.13812,0.93967,0.93668,0.96715,0.69018,1.32527,0.55862,1.31645,3.2976e-05,3.2976e-05,3.2976e-05
34,3209.09,1.05785,0.52867,1.13586,0.9363,0.94741,0.96758,0.68758,1.32717,0.56135,1.32173,3.1194e-05,3.1194e-05,3.1194e-05
35,3303.58,1.05264,0.5213,1.13667,0.94326,0.94561,0.96787,0.68797,1.33809,0.57317,1.32689,2.9412e-05,2.9412e-05,2.9412e-05
36,3397.87,1.04686,0.51793,1.13488,0.93675,0.93964,0.96639,0.68744,1.34236,0.56574,1.33305,2.763e-05,2.763e-05,2.763e-05
37,3491.92,1.04208,0.51339,1.13042,0.93951,0.94459,0.96871,0.69095,1.33582,0.5657,1.32965,2.5848e-05,2.5848e-05,2.5848e-05
38,3586.11,1.03739,0.51407,1.13006,0.94984,0.93729,0.96745,0.68718,1.33624,0.56302,1.33308,2.4066e-05,2.4066e-05,2.4066e-05
39,3680.27,1.03429,0.5133,1.12835,0.9464,0.9411,0.96882,0.68991,1.33294,0.55935,1.33139,2.2284e-05,2.2284e-05,2.2284e-05
40,3774.43,1.02678,0.50563,1.12125,0.94702,0.93949,0.96529,0.68639,1.3296,0.56312,1.32985,2.0502e-05,2.0502e-05,2.0502e-05
41,3868.04,0.97845,0.38251,1.15143,0.94528,0.93599,0.96841,0.69407,1.33578,0.5612,1.33908,1.872e-05,1.872e-05,1.872e-05
42,3961.04,0.96503,0.37442,1.14324,0.9452,0.93952,0.9685,0.69464,1.33171,0.5586,1.3364,1.6938e-05,1.6938e-05,1.6938e-05
43,4054,0.95437,0.37046,1.13421,0.93997,0.94636,0.96936,0.69229,1.33627,0.56345,1.3414,1.5156e-05,1.5156e-05,1.5156e-05
44,4146.82,0.9481,0.36742,1.13272,0.94905,0.94031,0.97018,0.69319,1.3379,0.5681,1.34443,1.3374e-05,1.3374e-05,1.3374e-05
45,4239.55,0.94354,0.36368,1.13094,0.94579,0.93869,0.97113,0.69256,1.33897,0.56185,1.34614,1.1592e-05,1.1592e-05,1.1592e-05
46,4332.26,0.93867,0.363,1.1256,0.94669,0.93933,0.97018,0.69188,1.33926,0.56636,1.34565,9.81e-06,9.81e-06,9.81e-06
47,4424.99,0.93304,0.35894,1.1259,0.94458,0.93905,0.9702,0.69208,1.34195,0.56587,1.34706,8.028e-06,8.028e-06,8.028e-06
